ID,Categoria,Hallazgo,Mejora aplicada,Como validar
H01,Matrícula,"La matrícula oscila mes a mes en el reporte a Fundación CAP; se necesita un dato estable congelado en dos cortes del año (mayo y agosto).","Nuevo helper matriculaVisible que devuelve snapshot mayo (junio-agosto) o snapshot agosto (sep-dic) solo para perfil CAP; el resto ve dato vivo. Pipeline snapshotMatricula.mjs idempotente por corte y año escribe los campos nNinosSnapshotMayo/Agosto en Firestore.","Login CAP en el navegador; el TotalCard 'Niñas y niños' muestra sub-label 'matrícula vigente'. Correr 'npm run snapshot-matricula -- --corte=mayo --anio=2026' desde terminal y recargar; sub-label debe pasar a 'matrícula al {fecha}'. Cambiar a perfil consultor y confirmar que sigue viendo 'matrícula estimada'."
H02,Comparador,"Comparar junio de un año contra septiembre de otro año no tiene sentido para indicadores anuales/semestrales; el filtro de mes genera confusión.","Filtro Mes eliminado del comparador. Cada lado (A y B) usa el mes efectivo del perfil (mes actual para consultor, mes cerrado anterior para CAP) sin exponerlo al usuario.","Login consultor, expandir 'Comparación por indicador'. Confirmar que ningún lado tiene dropdown de mes. Cambiar solo el año en un lado y verificar que los valores cambian sin necesidad de tocar otra cosa."
H03,Comparador,"El bar chart siempre muestra porcentaje, incluso para indicadores numéricos (conteo, promedio); el valor real se pierde.","computeSideData devuelve valor + unidad. El eje X se adapta: %/binario → 0-100%, conteo/promedio → escala absoluta con formatValue. En modo 'Todos los indicadores' con unidades mezcladas se muestra ratio normalizado con banner explícito 'Comparación normalizada'.","En el comparador elegir un indicador focal % (ej: I.3 % educadoras) y verificar eje 0-100%. Cambiar a un indicador focal conteo (ej: I.1 N° reuniones directora, meta 11) y verificar eje absoluto con números crudos. Volver a 'Todos los indicadores' y confirmar aparición del banner 'Comparación normalizada'."
H04,Comparador,"El gráfico muestra solo la sigla (I.14, I.35, etc.); no queda claro qué indicador es sin cruzar con el catálogo.","YAxis del bar chart ancho 220px con nombre completo del indicador (código + nombre truncado a 60 chars); tooltip nativo con nombre entero al hover.","En el comparador con cualquier configuración, verificar que cada barra tiene su código y nombre legible en el eje Y. Pasar el mouse sobre un nombre truncado y confirmar que el tooltip nativo muestra el texto completo."
H05,Comparador,"Falta desglose por establecimiento cuando se elige un sostenedor y un indicador específico (Luis quería ver los jardines individuales de una red, no solo el promedio).","Nuevo selector Desglose con opciones 'Agrupado' / 'Por establecimiento' / 'Por nivel'. La opción 'Por establecimiento' se habilita cuando hay indicador focal + sostenedor específico y renderiza una barra por centro de la red seleccionada.","Login consultor, comparador. Elegir en Grupo A un sostenedor específico + indicador focal. Verificar que 'Por establecimiento' se habilita. Cambiar Desglose a 'Por establecimiento' y confirmar que aparecen barras individuales por jardín/escuela."
H06,Comparador,"Necesitamos poder filtrar por nivel operativo (sala cuna menor/mayor, medio menor/mayor, transición 1/2) dentro de un jardín; los indicadores que no bajan a sala deben quedar deshabilitados.","Nuevo filtro Nivel con 6 buckets. El ingest normaliza el 'Nivel Específico' de las planillas (incluye nombres custom como 'Sala Cuna Heterogénea') a los 6 buckets fijos. Los indicadores con desagregaNivel:true consumen los docs por sala; los que no desagregan muestran '—'.","Comparador con perfil consultor, cambiar Nivel en Grupo A a 'Sala cuna menor'. Los indicadores con dato a nivel sala (26 de 54) deben mostrar valores diferentes al modo 'Todos los niveles'. Los restantes quedan como '—'. En DevTools Network filtrar por 'resultados_real' y confirmar query 'where nivel == sala_cuna_menor'."
H07,Ranking,"En el ranking ejecutivo no se distingue visualmente cuáles indicadores alcanzaron la meta y cuáles no.","IndicadorItem colorea el valor en lime cuando valor >= metaNum; en cyan (default) cuando no; en gris cuando el estado es provisional. El dot lateral también pasa a lime al alcanzar meta.","Login consultor, mirar tarjeta 'Vista ejecutiva' (top-3 y bottom-3). Los ítems con valor >= meta deben verse en verde lime (valor y dot); el resto en cyan. Si algún ítem tiene estado provisional debe verse gris con tooltip."
H08,Nomenclatura,"Reemplazar 'producto' por 'indicadores de logro' en toda la UI para alinear con la nueva teoría del cambio.","Renombrado transversal en IndicatorPanel y textos visibles. El valor interno clasificacion:'producto' del catálogo no se toca para no romper datos.","Grep 'grep -rn \"Indicadores de producto\" src/*.jsx' debe retornar 0 líneas de UI. Login escuela/jardín y confirmar que la sub-sección dentro de cada ámbito dice 'Indicadores de logro asociados'."
H09,Jerarquía,"La sección 'Indicadores de producto' se mostraba como bloque aparte al final del panel; debe integrarse dentro de cada ámbito como sub-sección 'Indicadores de logro asociados' (nueva teoría del cambio).","IndicatorPanel reescrito: una sola iteración por ámbito. Cada ámbito colapsable muestra primero sus estrategias y, si tiene productos, un divisor horizontal con ícono Package magenta + texto 'Indicadores de logro asociados' + productos del mismo ámbito.","Login escuela o jardín, sección 'Indicadores del programa'. Confirmar subtítulo 'Indicadores por ámbito'. Expandir un ámbito con productos y verificar el divisor con 'Indicadores de logro asociados'. Confirmar que no existe ningún bloque global 'Indicadores de producto' al final del panel."
H10,Jerarquía,"El % del header del ámbito solo agrega estrategias; debería reflejar el ámbito completo (estrategia + logro).","AmbitoGroup ahora computa el promedio combinando estrategiaFilas + filasLogro; el conDato/sinDato también refleja el total.","Elegir un ámbito con estrategias al 100% y productos al 0%. El % del header debe reflejar el promedio combinado, no solo el de estrategia. Cross-check: expandir el ámbito y calcular mentalmente el promedio."
H11,Consistencia visual,"En los indicadores del programa hay que diferenciar por color el valor propio de la meta (hoy ambos van en gris oscuro).","Regla consistente: valor propio → cyan; peer/promedio del territorio → gris oscuro; meta anual → gris muted (text-gray-ui). Aplicado en IndicatorProgress, KpiCard, IndicatorRanking, IndicatorDrilldown, TotalCard y % cumplimiento por establecimiento en VistaConsultor y VistaSostenedor. Excepción: banners con fondo oscuro mantienen texto blanco; provisionales quedan gris para preservar aviso.","Login cualquier perfil. Verificar en IndicatorProgress que el valor del establecimiento está en cyan y la meta en gris muted. En el ranking los valores están cyan/lime, las metas gris. En VistaConsultor los TotalCards y las filas de la lista muestran el % en cyan. Provisionales siguen en gris."
H12,Superadmin,"Probar mapa de calor para el perfil superadmin; si no convence, se descarta.","Nuevo componente HeatmapEstablecimientosIndicadores con grid CSS filas=establecimientos × columnas=indicadores, escala semáforo ternaria (rojo<60%, amarillo 60-85%, cyan>=85%, gris sin dato), filtro por ámbito, click celda → drilldown. Feature flag VITE_FEATURE_HEATMAP=true; visible solo con superadmin + flag.","Crear .env.local con 'VITE_FEATURE_HEATMAP=true'. Reiniciar 'npm run dev'. Login superadmin y confirmar sección colapsable 'Mapa de calor · Establecimientos × Indicadores' con badge 'experimento'. Hacer hover en celda → tooltip con nombre + valor + meta. Click celda → abre IndicatorDrilldown. Cambiar a perfil consultor con el mismo flag y confirmar que la sección NO aparece."
H13,Datos Parvulario,"Las 3 planillas centrales de Parvulario tienen ahora pestañas nuevas 'VISUALIZADOR JARDÍN' y 'VISUALIZADOR SALAS' que son la fuente de verdad; el pipeline actual leía pestañas obsoletas.","ingestParvulario.mjs reescrito: detecta las tabs VISUALIZADOR con fallbacks tolerantes, traduce la numeración desfasada de las planillas al catálogo local (planilla I.2 → catálogo I.1, etc.), escribe dos formas del mismo dato en resultados_real: agregado por jardín (sin nivel, consumido por la UI actual) y por sala/nivel (con nivel, nivelEspecifico, nivelGeneral, consumido por el filtro Nivel).","Correr 'node scripts/ingestParvulario.mjs --dry-run' desde terminal y verificar en el reporte: 5119 docs (1694 jardín + 3425 sala), 48/54 indicadores del catálogo con datos, 5 niveles detectados. En Firebase console → resultados_real filtrar programa='parvulario' → confirmar existencia de docs con y sin campo 'nivel'. Reporte JSON en reports/ingestParvulario-2026-07-21.json."
H14,Datos Parvulario,"Validar que el catálogo local está alineado con las planillas: identificar indicadores mapeados / faltantes / huérfanos y cuáles bajan a nivel sala.","Nuevo script mapeoParvulario.mjs que lee las 3 planillas + 2 bases de identificación via Sheets API, compara contra catalog.json, produce reporte markdown. Fixes secundarios: I.6 e I.29 corregidos de 'binario' a 'conteo' (coincide con XLSX Focus); 26 indicadores marcados con desagregaNivel:true para activar el filtro Nivel del comparador.","Correr 'npm run mapeo-parvulario' desde terminal. Verificar creación de docs/mapeo-parvulario-{fecha}.md con tabla resumen, secciones por planilla, faltantes (2 detectados en primera corrida antes de la reconciliación), huérfanos y desglose por sala."
H15,Datos Parvulario,"Aclarar el estado de indicadores del catálogo que no llegan con datos desde las planillas actuales.","Reportado en la salida del ingest: I.22 (comités comunales) e I.23 (fiesta familia) no aparecen en ninguna planilla VISUALIZADOR; I.36, I.37, I.38 (plan de acción / malla formativa) y I.54 (ciclo talleres) tienen columna pero puras celdas 'SIN DATOS' o 'No aplica'. Total 6/54 sin datos.","Abrir reports/ingestParvulario-2026-07-21.json y confirmar el listado 'indicadoresNoCubiertos'. Chequeo cruzado: abrir la planilla central 25-26·2026, pestaña 'VISUALIZADOR JARDÍN', y confirmar que las columnas de I.35-I.37 (planilla) tienen SIN DATOS. Escalar la duda a Luis para decidir si se sacan del catálogo o si se cargarán después."
